company,title,pros,cons
NEORIS,Desarrollador JAVA,"Sueldo competitivo, variedad de proyectos, capacitacion","Ambiente laboral, sobrecarga de proyectos"
NEORIS,Buen ambiente,Teletrabajo y muy buen ambiente de trabajo,Salario bastante bajo para todo lo que desempeñas
NEORIS,Muy buena empresa,"Es una buena empresa, pagos muy puntuales, excelente ambiente y mentoria","Poco crecimiento salarial, los ajustes son muy bajos"
NEORIS,Plan de crecimiento complicado,"Sueldo competitivo
Prestaciones superiores a la ley","Es dificil subir de puesto, no hay un plan de crecimiento establecido
No hay mucha comunicación con la consultora, pues trabajas principalmente con el cliente"
NEORIS,Lindo ambiente sueldo super bajo,"Muy lindo ambiente laboral, me toco trabajar con personas excelentes y super compañeras.
HomeOffice. Depende del proyecto te pueden tocar tecnologías nuevas/interesantes o stack legacy/viejisimo que no ayuda a tu carrera.","Tiene uno de los peores sueldos del mercado.
Con +3 años de experiencia, mi sueldo es menor al de un Junior en cualquier otra empresa. Enviaron un mail diciendo que el proximo ajuste sera en julio (serian 8 meses sin ajuste).
Solo recomendable si uno es junior o puede negociar un buen sueldo, apostando a que no habrá incrementos regularmente.
Tampoco hay soluciones cuando uno plantea disconformidad con el sueldo actual."
NEORIS,Gran Empresa para trabajar,Oportunidades de tener proyectos en remoto,Se tiene desventaja salarial en contra de otras consultoras
NEORIS,"Buena empresa, Mala atención de RH","Buena empresa, buenos proyectos y muy buen salario y prestaciones","Cuando se requiere apoyo de RH tardan muchisimo. Muchos cursos innecesarios (además de la carga de trabajo, exigen cursos que son totalmente innecesarios)"
NEORIS,Buena experiencia pero no suben sueldo,La empresa es buena y cumplida con los pagos. Dependiendo del cliente claro esta.,"Llevo casi 3 años en la empresa y no he tenido aumento de sueldo. He insistido en este tema pero siempre evaden mi solicitud, Al final esto desanima muchísimo."
NEORIS,Ok,Relacion laboral es muy buena con el team,Las prestaciones no son tan competentes
NEORIS,Cultura,Muy buena cultura de trabajo e instalaciones,"Cuando te ponen en banca, manejan mucho micromanagement"
NEORIS,Excelente empresa para trabajar y crecer profesionalmente,"Buenas prestaciones, buena cultura laboral, vida balanceada, acceso a recursos de capacitación, etc.",No encontré desventajas de laborar en Neoris.
NEORIS,Buena Empresa,"Ambiente agradable
Compañerismo
Integración
Buenos Beneficios
Sueldo acorde",Hibrido (A veces hay que ir a la oficina)
NEORIS,buen  lugar para empezar,facilidad de hacer home office,No hay mucho aumento salarial
NEORIS,Evaluacion,tener la oportunidad de trabajar,no hay desventajas especificas de trabajar aqui
NEORIS,Buena Emrpesa para laborar,"aparte de un buen salario, tenia flexibilidad y buen equilibrio para una vida personal decente, incluso diria deseable para muchas personas.",Llegar a las oficinas es un tanto complicado
NEORIS,trabajo excesivo,"prestaciones , pagan en forma, buenas instalaciones",no tienes calidad de vida el trabajo es demasiado te negrean
NEORIS,El peor capítulo de mi carrera profesional,El home office es lo mejor.,"Incrementos salariales, con suerte, 2 veces al año.
Área de RRHH ajena al cuidado del empleado. Tapan todo el maltrato y se deja como si nada.
Hay discriminación.
Jefes abusadores y maltratadores. Manipulan, insultan y amenazan generando temor a perder el empleo. 
Ambiente laboral tóxico: no hay trabajo en equipo. Pisas o pisas a quien toque.
No hay capacitaciones."
NEORIS,Bien,"Buenos beneficios, no hay micromanagment",Pocos ajustes salariales por inflación.
NEORIS,Muy buena empresa,"Prestaciones
Sueldo
Estabilidad
Clima laboral
Crecimiento","Proyectos
Horas
Seria eso mi en opinion"
NEORIS,Buena pero podria estar mejor,"Salario de acuerdo al mercado.
Flexibilidad de Horario.
Ambiente laboral bueno.","Falta mejorar las prestaciones son las de ley unicamente.
Falta de crecimiento el salario no aumenta mucho."
NEORIS,Buena empresa,Proyectos con clientes interesantes de diversos sectores,Pocas opciones de crecimiento o desarrollo profesional
